web-scraper-order,web-scraper-start-url,titulo,ano,generos,avaliacao,votos,resumo,link,link-href,tipo,imagem-src
"1662683780-887","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","The Queen's Christmas Broadcast 2018","(2018 TV Movie)","Documentary","null","null","Her Majesty Queen Elizabeth II discusses topics ranging from the RAF, the Power of Faith, the Commonwealth, and the Christmas Story.","The Queen's Christmas Broadcast 2018","https://www.imdb.com/title/tt9472320/?ref_=adv_li_tt","Filme para televisão","https://m.media-amazon.com/images/M/MV5BZTg1NmZhMzgtMGU0Ni00ZDkyLTk1ZmEtYWMwZDY3MWM0MmI2XkEyXkFqcGdeQXVyMTIzMTU4NTc2._V1_QL75_UY281_CR117,0,190,281_.jpg"
"1662683783-888","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","The Queen: Duty before Family?","(2020 TV Movie)","Documentary","null","null","Elizabeth II's reign has been peppered with personal crises within the royal family, from Margaret being denied her choice of husband to the death of Diana. Royal insiders consider how well the Queen coped.","The Queen: Duty before Family?","https://www.imdb.com/title/tt13131656/?ref_=adv_li_tt","Filme para televisão","https://m.media-amazon.com/images/M/MV5BNDMzYzg1NGQtMTlkNy00NWVhLTg1YWYtMTcxNmZkZDkyNTRlXkEyXkFqcGdeQXVyMjA1Njg4Nw@@._V1_QL75_UY281_CR1,0,190,281_.jpg"
"1662683787-889","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","The Queen Carries On: A Gayle King Special","(2021 TV Special)","News","null","null","The extraordinary life and reign of Her Majesty Queen Elizabeth II; interviews with former President Barack Obama, Sir Paul McCartney, photographer Mary McCartney, journalist Tina Brown, ...                See full summary »","The Queen Carries On: A Gayle King Special","https://www.imdb.com/title/tt15167276/?ref_=adv_li_tt","Especial de TV","null"
"1662683790-890","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Queen Elizabeth II: End of A Reign","(2020)","Biography, Documentary","null","null","Ever wonder what it would be like to be royalty? Along with all the adoration would come a great deal of responsibility. One of the longest reigning members of the royal family is the great...                See full summary »","Queen Elizabeth II: End of A Reign","https://www.imdb.com/title/tt13155280/?ref_=adv_li_tt","20202020","https://m.media-amazon.com/images/M/MV5BNWUyMDcyMmItMGYxYi00Y2JlLWJkNzEtMWNkYzMwNjQwNjIxXkEyXkFqcGdeQXVyMTEzMjQzMDM1._V1_QL75_UY281_CR11,0,190,281_.jpg"
"1662683794-891","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","The Queen","(2008 TV Special)","Short, News","null","null","Queen Elizabeth II discusses the year gone by and touches upon current affairs and the year ahead, in her annual address to the Commonwealth.","The Queen","https://www.imdb.com/title/tt1353104/?ref_=adv_li_tt","Especial de TV","null"
"1662683798-892","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Elizabeth Is Queen","(1953)","Documentary","6,8","11","This spectacular 1953 documentary, released in cinemas, records the events of Elizabeth II's coronation day in glorious colour. From British Pathé TV's Royalty Collection.","Elizabeth Is Queen","https://www.imdb.com/title/tt0238961/?ref_=adv_li_tt","19531953","https://m.media-amazon.com/images/M/MV5BOGM5ZWQ2ZmItNjVhMy00YjU4LTg0M2MtOGYzZDI5ZmE3NjIwXkEyXkFqcGdeQXVyMDY4MzkyNw@@._V1_QL75_UX190_CR0,3,190,281_.jpg"
"1662683801-893","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","The Queen's Christmas Broadcast 2020","(2020 TV Movie)","Documentary","null","null","Her Majesty Queen Elizabeth II addresses her subjects all across the world, discussing the unusual Coronavirus year of 2020, Florence Nightingale, the teachings of Jesus Christ, and the Unknown Soldier.","The Queen's Christmas Broadcast 2020","https://www.imdb.com/title/tt13712094/?ref_=adv_li_tt","Filme para televisão","https://m.media-amazon.com/images/M/MV5BNWNmOWFmOTEtNzJkYy00OTFhLTgwNjMtNmRiMTliOTkwZGEzXkEyXkFqcGdeQXVyMTIzMTU4NTc2._V1_QL75_UY281_CR109,0,190,281_.jpg"
"1662683805-894","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","The Queen's Christmas Broadcast 2019","(2019 TV Movie)","Documentary","null","null","Her Majesty Queen Elizabeth II addresses her subjects once again for her Christmas Broadcast. She discusses the anniversary of the Moon Landing, D-Day, her newest Great-Grandchild, and the Christmas story.","The Queen's Christmas Broadcast 2019","https://www.imdb.com/title/tt14122036/?ref_=adv_li_tt","Filme para televisão","https://m.media-amazon.com/images/M/MV5BYzI2ZTg3MWItYjY3Yi00MWUwLTg1NzUtY2NlNzE4OTRmZTIyXkEyXkFqcGdeQXVyMTIzMTU4NTc2._V1_QL75_UY281_CR109,0,190,281_.jpg"
"1662683809-895","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","The Queen in Australia","(1954)","Documentary","7,9","11","A record of the 1954 visit to Australia by Her Majesty Queen Elizabeth II and his Royal Highness Prince Philip.","The Queen in Australia","https://www.imdb.com/title/tt1810807/?ref_=adv_li_tt","19541954","https://m.media-amazon.com/images/M/MV5BMmIyNzlmYTUtZmM5Zi00NGI5LTlkNTYtMzE2YmJkMDg4MzljXkEyXkFqcGdeQXVyMjk3ODk1MzU@._V1_QL75_UX190_CR0,58,190,281_.jpg"
"1662683813-896","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","The Queen at 90","(2016 TV Movie)","Documentary","6,1","8","""Downton Abbey"" star Elizabeth McGovern narrates an intimate look at the life and reign of Queen Elizabeth II as we celebrate Her Majesty's 90th birthday. Featuring interviews with members ...                See full summary »","The Queen at 90","https://www.imdb.com/title/tt9699788/?ref_=adv_li_tt","Filme para televisão","https://m.media-amazon.com/images/M/MV5BN2Q4MDExYTItYzkzZS00YTZlLThkMGYtOTAyMDhkNzEyZTkwXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_QL75_UY281_CR177,0,190,281_.jpg"
"1662683816-897","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Behind the Mask: The Queen","(2007 TV Movie)","Documentary, History","null","null","A unique and revealing documentary on Her Majesty, Queen Elizabeth II. Presented by Andrew Morton, the unofficial Royal biographer, this production focuses on events that have made her the ...                See full summary »","Behind the Mask: The Queen","https://www.imdb.com/title/tt3514924/?ref_=adv_li_tt","Filme para televisão","https://m.media-amazon.com/images/M/MV5BMjAzNDg2MzU4OV5BMl5BanBnXkFtZTgwMjM0NzUxMTE@._V1_QL75_UY281_CR93,0,190,281_.jpg"
"1662683820-898","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","The Queen at 80","(2006 TV Movie)","Documentary","9,3","40","HM Queen Elizabeth II filmed across one year to mark her 80th birthday. Exclusive and private access including scenes at Buckingham Palace, Windsor Castle and the Palace of Holyroodhouse as...                See full summary »","The Queen at 80","https://www.imdb.com/title/tt0976242/?ref_=adv_li_tt","Filme para televisão","https://m.media-amazon.com/images/M/MV5BMjEyMTM0MTQ4M15BMl5BanBnXkFtZTcwNDY3NjY0MQ@@._V1_QL75_UY281_CR165,0,190,281_.jpg"
"1662683824-899","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Our Queen at Ninety","(2016 TV Movie)","Documentary","7,8","74","To celebrate the upcoming 90th birthday of Her Majesty Queen Elizabeth II this documentary enjoys privileged access to the Queen and many members of the Royal Family following their work at home and abroad.","Our Queen at Ninety","https://www.imdb.com/title/tt5589756/?ref_=adv_li_tt","Filme para televisão","https://m.media-amazon.com/images/M/MV5BNjU4ZmU1MDktNDM5ZS00NGE1LTkxZDItMTFlOTJhYTk0NDlmXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_QL75_UY281_CR11,0,190,281_.jpg"
"1662683827-900","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","The Queen: Unseen","(2021)","Documentary","null","null","Rare private footage, informal archive and newly digitized material shows Queen Elizabeth II as she has never been seen before.","The Queen: Unseen","https://www.imdb.com/title/tt19894488/?ref_=adv_li_tt","20212021","null"
"1662683831-901","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Queen and the Crown","","Documentary","null","null","It has been 70 years since Queen Elizabeth II ascended to the throne. During her reign, the Queen has made some hard decisions, affecting relationships with those closest to her. ...                See full summary »","Queen and the Crown","https://www.imdb.com/title/tt21371446/?ref_=adv_li_tt","null","https://m.media-amazon.com/images/M/MV5BZDc5ZTVlM2MtYTU3Yy00YTRjLWE2MTktYzY1MWU0Y2VmYjVhXkEyXkFqcGdeQXVyMjgzNjQyMjI@._V1_QL75_UX190_CR0,2,190,281_.jpg"
"1662683834-902","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Die Queen - Schicksalsjahre einer Königin","(2022 TV Special)","Documentary, Biography, History","null","null","No king or queen has wielded the scepter in the world for so many years. No monarch has reigned longer in British history. Elizabeth II has been an authority for 70 years. A ruler without ...                See full summary »","Die Queen - Schicksalsjahre einer Königin","https://www.imdb.com/title/tt20764758/?ref_=adv_li_tt","Especial de TV","null"
"1662683838-903","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Our Platinum Queen: 70 Years on the Throne","(2022)","Documentary, History","null","null","70 years of service and duty to her people. Our record-breaking platinum Queen. Her Majesty Queen Elizabeth II has devoted herself to her people since 1952, following the early death of her...                See full summary »","Our Platinum Queen: 70 Years on the Throne","https://www.imdb.com/title/tt20771926/?ref_=adv_li_tt","20222022","https://m.media-amazon.com/images/M/MV5BYjc4YjUwYjctMWVmMy00ZWM2LWIxZGUtZWRhZmRiMzAyODQzXkEyXkFqcGdeQXVyNjc1OTk4NjA@._V1_QL75_UX190_CR0,2,190,281_.jpg"
